Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
1,Tsunoyo,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,cities,43303,1202.44,232.67,29.13,135.91,9,18°C,Barcelona (Spain),,port,citadel,walls,plaza,,shanty town,{t1:gules;charges:[{charge:key;t:argent;p:jln;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Tsunoyo&population=43303&size=54&seed=8820546000001&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=1&style=natural&sea=0.33
2,Glatmosbach,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,cities,29932,404.31,209.35,35.23,-72.92,16,13°C,Milan (Italy),,,citadel,walls,plaza,,,{t1:gules;division:{division:perPale;t:or;line:straight};shield:pavise},https://watabou.github.io/city-generator/?name=Glatmosbach&population=29932&size=47&seed=8820546000002&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
3,Arasamran,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,cities,5174,1171.8,463.6,-31.29,127.89,16,21°C,Tegucigalpa (Honduras),,,citadel,walls,plaza,,,{t1:sable;charges:[{charge:bullHeadCaboshed;t:or;p:e;t2:or;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Arasamran&population=5174&size=24&seed=8820546000003&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
4,Hofnirver,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,cities,52956,255.18,479.67,-35.5,-111.93,4,18°C,Barcelona (Spain),,port,citadel,walls,plaza,temple,,{t1:palyBendy-vert-argent;charges:[{charge:lymphad;t:or;p:e;t2:or;t3:or;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Hofnirver&population=52956&size=58&seed=8820546000004&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural&sea=0.69
5,Bifjorfi,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,cities,14985,253.61,577.32,-61.04,-112.35,9,3°C,Tromsø (Norway),,port,citadel,walls,plaza,,,{t1:argent;charges:[{charge:shipWheel;t:azure;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Bifjorfi&population=14985&size=36&seed=8820546000005&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.41
6,Itaji,Seto,Seto Province,Yugure,Empire of Yugure,Shin,Pelor,towns,5059,1218.78,308.98,9.16,140.18,16,28°C,Bangkok (Thailand),,port,citadel,walls,plaza,temple,,{t1:azure;charges:[{charge:plaice;t:or;p:jln;t2:or;size:0.7}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Itaji&population=5059&size=24&seed=8820546000006&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural&sea=1.99
7,Shazim,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,2534,1088.93,337.58,1.68,106.21,4,29°C,Niamey (Niger),,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:cross;t:purpure;line:straight}];charges:[{charge:pique;t:argent;p:behdf;size:0.3}];shield:roman},https://watabou.github.io/city-generator/?name=Shazim&population=2534&size=18&seed=8820546000007&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
8,Alquzay,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,3972,1149.54,380.35,-9.51,122.07,16,28°C,Bangkok (Thailand),,port,,,plaza,,,{t1:sable;charges:[{charge:drakkar;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Alquzay&population=3972&size=22&seed=8820546000008&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.45
9,Lauchengen,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Selûne,towns,21106,382.63,210.75,34.86,-78.59,4,15°C,Rome (Italy),,port,,,plaza,,,{t1:gules;division:{division:perChevron;t:argent;line:embattledNotched};charges:[{charge:drakkar;t:or;p:dfk;t2:or;t3:or;divided:counter;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Lauchengen&population=21106&size=41&seed=8820546000009&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.76
10,Rashayrif,Bisqah,Bisqah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,2717,1169.64,397.44,-13.98,127.32,4,28°C,Bangkok (Thailand),,,citadel,walls,plaza,,,{t1:or;charges:[{charge:crossHummetty;t:purpure;p:abcpqh;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Rashayrif&population=2717&size=19&seed=8820546000010&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
11,Aljaybar,Liyah,Liyah Province,Hihabar,Sultanate of Hihabar,Afar,Moradin,towns,15009,1157.91,445.05,-26.44,124.26,4,24°C,Dakar (Senegal),,,,,,,,{t1:sable;charges:[{charge:boat;t:argent;p:e;t2:argent;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Aljaybar&population=15009&size=36&seed=8820546000011&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
12,Genburg,Neuchsia,Neuchsia Province,Nosland,United Kingdom of Nosland,Weisin,Mystra,towns,2452,382.94,187.26,41.01,-78.51,4,9°C,Copenhagen (Denmark),,,citadel,,plaza,,,{t1:sable;charges:[{charge:parrot;t:argent;p:e;t2:argent;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Genburg&population=2452&size=18&seed=8820546000012&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
13,Blondyrdal,Lautokeria,Lautokeria Province,Varkeldov,Varkeldov Kingdom,Ulvshofn,Selûne,towns,2444,327.53,526.03,-47.62,-93.01,36,10°C,London (England),,,,,plaza,,,{t1:lozengy-or-sable;charges:[{charge:rake;t:vert;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Blondyrdal&population=2444&size=18&seed=8820546000013&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
